,id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,status_code,status_message
0,10083,False,/9F6zZuETJWUtkcSEnOc0JLqBHAK.jpg,,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,tt0093640,en,No Way Out,"Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well.",11.623,/1wLr7yAt9atj7xDstmhXYVnd6Et.jpg,"[{'id': 41, 'logo_path': '/AuAIlCWBrbhbUFFrJ6M9E3ihBoj.png', 'name': 'Orion Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-08-14,35509515.0,114.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"Is it a crime of passion, or an act of treason?",No Way Out,False,7.0,359.0,,
1,37088,False,/dEBx1cg8jUgi4N3Wb1snfyH9qAp.jpg,"{'id': 489564, 'name': 'Aileen Wuornos: Broomfield Collection', 'poster_path': '/gHWsTeBd88cz3wYEKoh3ei55OmP.jpg', 'backdrop_path': None}",0.0,"[{'id': 99, 'name': 'Documentary'}]",,tt0364930,en,Aileen: Life and Death of a Serial Killer,"British documentarian Nick Broomfield creates a follow-up piece to his 1992 documentary of the serial killer Aileen Wuornos, a highway prostitute who was convicted of killing six men in Florida between 1989 and 1990. Interviewing an increasingly mentally unstable Wuornos, Broomfield captures the distorted mind of a murderer whom the state of Florida deems of sound mind -- and therefore fit to execute. Throughout the film, Broomfield includes footage of his testimony at Wuornos' trial.",7.167,/6MJpX3xlQicN2zIBhPsjpyyIWH.jpg,"[{'id': 12913, 'logo_path': None, 'name': 'Lafayette Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-09-09,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The 2002 Interviews.,Aileen: Life and Death of a Serial Killer,False,7.0,79.0,,
2,19742,False,/e14FVmB4V1o0bXOX1YyU7mSrca7.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,tt0049782,ja,空の大怪獣ラドン,"When a village is besieged by prehistoric nymphs, a more horrifying discovery is made in their underground home: a giant flying creature that resembles a pteranodon. Soon after, a second Rodan appears and converges with its mate in Fukuoka.",6.981,/juyQCAhUan2Z8rC2B7ULU2N4TJU.jpg,"[{'id': 882, 'logo_path': '/fRSWWjquvzcHjACbtF53utZFIll.png', 'name': 'Toho Company, Ltd.', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1956-12-26,1333289.0,82.0,"[{'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'tl', 'name': ''}]",Released,"Born from a volcanic crater, the crimson monster bird Rodan tramples the Earth",Rodan,False,6.7,80.0,,
3,19380,False,/7qse864BI3rJmhg4I7UNOt14dJc.jpg,,0.0,"[{'id': 53, 'name': 'Thriller'}]",,tt0105813,en,White Sands,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation.",6.954,/7XderqM5oxzbWanJq6FLvpmFLdA.jpg,"[{'id': 10210, 'logo_path': None, 'name': 'Morgan Creek Productions', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-04-24,9.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The most dangerous way to solve a murder... become the victim.,White Sands,False,5.6,61.0,,
4,14469,False,/w3CQNq8On5Vg39WVoCDwNsNDoGo.jpg,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,tt0115781,en,Bullet,"A tough, Jewish ex-con just released from prison crosses a powerful drug dealer and former prison rival in his return to a life of crime.",4.887,/ueYeJsyJL6CfERrmQP1KRSBocJH.jpg,"[{'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 10566, 'logo_path': None, 'name': 'Clipsal Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-03-01,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Bullet,False,6.3,60.0,,
5,9583,False,/nTB7rsZ1JTCrolj91bRBFgi9G4x.jpg,,27000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,tt0279778,en,Divine Secrets of the Ya-Ya Sisterhood,"A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother.",9.793,/hI05FJ8wgPROHQgLtfJ4ZuH3l4b.jpg,"[{'id': 10535, 'logo_path': None, 'name': 'All Girl Productions', 'origin_country': ''}, {'id': 11617, 'logo_path': None, 'name': 'Gaylord Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-06-07,73839240.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Secret Is Out.,Divine Secrets of the Ya-Ya Sisterhood,False,6.1,145.0,,
6,124639,False,,,0.0,[],,tt0114618,en,Target,A subtle yet violent commentary on feudal lords.,0.6,,[],[],1995-08-01,0.0,122.0,[],Released,,Target,False,0.0,0.0,,
7,248,False,/d96bhq2r9GxoRoAv6COZzuDXtlO.jpg,,2900000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,tt0055312,en,Pocketful of Miracles,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.",7.029,/xjXwcGJjT5tE22wazQUYH32HwU8.jpg,"[{'id': 1044, 'logo_path': None, 'name': 'Franton Production', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-12-18,5000000.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,You have to see it to believe it!,Pocketful of Miracles,False,7.3,80.0,,
8,4772,False,/b1UBpKbfoaL3dB9va0QG1SeP5aF.jpg,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,tt0060268,en,Cul-de-sac,"A wounded criminal and his dying partner take refuge at a beachfront castle. The owners of the castle, a meek Englishman and his willful French wife, are initially the unwilling hosts to the criminals. Quickly, however, the relationships between the criminal, the wife, and the Englishman begin to shift in humorous and bizarre fashion.",10.477,/aSEBcYq4Bf06drXajT6AQBkykvP.jpg,"[{'id': 1754, 'logo_path': None, 'name': 'Tekli British Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-02-01,0.0,112.0,[],Released,,Cul-de-sac,False,6.9,132.0,,
9,46748,False,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,tt0139564,fr,Regarde la Mer,"Sasha, a young British woman, is living with her baby daughter at Ile d'Yeu, a peaceful beach community. A stranger appears. Her name is Tatiana, she's passing through, and pitches her tent in Sasha's yard. The two women build an odd rapport, and tension builds as events unfold.",1.931,/l8gnjkOv5GKg0fyW8hf7tA2dix4.jpg,"[{'id': 1123, 'logo_path': None, 'name': 'Local Films', 'origin_country': ''}, {'id': 147, 'logo_path': None, 'name': 'Fidélité Productions', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1997-12-03,0.0,52.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,When stranger knocks...,See the Sea,False,7.1,9.0,,
10,869,False,/rF0Y0fYVsNFEvGve8Nq0Ij9EDCM.jpg,,100000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",http://www.planetoftheapes.com/films/planet-of-the-apes,tt0133152,en,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",16.343,/Rgz6VZyRUDhrqqe9llX8VBVCH7.jpg,"[{'id': 8601, 'logo_path': None, 'name': 'Tim Burton Productions', 'origin_country': ''}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 80, 'logo_path': None, 'name': 'The Zanuck Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-07-25,362211740.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You'll be sorry you were ever born human.,Planet of the Apes,False,5.7,2652.0,,
