,id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,status_code,status_message
0,10149,False,/zecAkgRIFhaL0jBJSkXcfYeuDxp.jpg,"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,tt0114478,en,Smoke,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",7.361,/phvnN7OPEnlHoAZe8nsSqPDD8B0.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-06-09,8349430.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Where there's smoke... there's laughter!,Smoke,False,7.3,259.0,,
1,17170,False,/qIjWlCAUcjlKzqiivbE1DUMeOg0.jpg,,25000000.0,"[{'id': 18, 'name': 'Drama'}]",,tt0094799,en,"Bright Lights, Big City","A young kid from Kansas moves to New York to work on a magazine. He gets caught up in the world of drink and drugs, and starts a steady decline. The only hope is the cousin of one of his drinking partners, can she pull him through it ?",10.547,/1te0t9p6aHRMl5nYyxqI48OX7jp.jpg,"[{'id': 67823, 'logo_path': None, 'name': 'Star Partners', 'origin_country': ''}, {'id': 60, 'logo_path': '/oJXpAs4I3W46e4dkaOEzCa4yBko.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 932, 'logo_path': None, 'name': 'Mirage Enterprises', 'origin_country': 'US'}, {'id': 32793, 'logo_path': None, 'name': 'CST Telecommunications', 'origin_country': ''}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-04-01,16118077.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,"Bright Lights, Big City",False,5.8,61.0,,
2,14367,False,/kdN06b7Xj9MUhDzKpc67HwNmAUy.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,tt0092513,en,Adventures in Babysitting,"When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.",11.101,/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg,"[{'id': 554, 'logo_path': None, 'name': 'Silver Screen Partners III', 'origin_country': ''}, {'id': 9195, 'logo_path': '/ou5BUbtulr6tIt699q6xJiEQTR9.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-07-01,34368475.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She thought babysitting was easy money - until she started hanging out with the Andersons.,Adventures in Babysitting,False,6.8,357.0,,
3,59087,False,/e0MsKelKuPRh4kSTmmnrsxRk1iT.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,tt0044314,en,5 Fingers,During WWII the valet to the British Ambassador to Ankara sells British secrets to the Germans while trying to romance a refugee Polish countess.,7.094,/sSsj9XgJKWDCdSCLS32lEPzfkhj.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1952-02-22,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,5 Fingers,False,7.5,46.0,,
4,16553,False,/6EawMA1GdI5VDsO3ZvgpbO5yqoO.jpg,,385373.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,tt0412922,en,Little Manhattan,"Ten-year-old Gabe was just a normal kid growing up in Manhattan until Rosemary Telesco walked into his life, actually into his karate class. But before Gabe can tell Rosemary how he feels, she tells him she will not be going to public school any more. Gabe has a lot more to learn about life, love, and girls.",7.922,/zjor5BJ3DadsZzzKxifYzzFdXzC.jpg,"[{'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/hNuGhsKVlmhnwSRcmOejDBDjh6w.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 1171, 'logo_path': None, 'name': 'Epsilon Motion Pictures', 'origin_country': 'CH'}, {'id': 11733, 'logo_path': None, 'name': 'Pariah', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-09-30,1117920.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing's as big as your first love.,Little Manhattan,False,6.9,457.0,,
5,15098,False,,,0.0,"[{'id': 18, 'name': 'Drama'}]",http://www.ifcfilms.com/viewFilm.htm?filmId=245,tt0252684,en,Manic,"Lyle is filled with rage. After badly beating a classmate during a schoolyard fight, Lyle is committed to a juvenile mental institution in lieu of criminal prosecution. Inside the hospital, Lyle encounters a group of adolescents struggling with a variety of illnesses.",6.342,/af9Ym0HQuChr7e5N34PN9OSfYhu.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-27,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Manic,False,7.1,53.0,,
6,70054,False,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,tt0239507,fr,Les filles ne savent pas nager,"Gwen is a teenager living in a small coastal town. Lise is her best friend, a city girl who comes every year with her family to spend the summer. This year things are different though; at first Lise might not come at all, and when she does it is obvious that Gwen grew up faster than she did.",2.453,/nk01GaUqmeA54ClZVM9AuPOiOZd.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2000-10-18,0.0,102.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Girls Can't Swim,False,4.3,8.0,,
7,10725,False,/yET91TO85WU32H5NKCsm040Q4iY.jpg,,17000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,tt0083336,en,Wolfen,A city cop is assigned to solve a bizarre set of violent murders where it appears that the victims were killed by animals. In his pursuit he learns of an Indian legend about wolf spirits.,7.249,/4c5DNhZMaS4F8IiuG9KM0EWd4i.jpg,"[{'id': 14150, 'logo_path': None, 'name': 'Orion Pictures Corporation', 'origin_country': ''}, {'id': 19048, 'logo_path': None, 'name': 'King-Hitzig Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1981-07-24,10626725.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,Their hunting ground - New York City. Their prey - the people.,Wolfen,False,6.0,108.0,,
8,4816,False,/69XTSXFch0eosDshReYGiNLGi9n.jpg,,2000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,tt0165798,en,Ghost Dog: The Way of the Samurai,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,9.45,/gkH4zOxIfbb4BEbk9Q4cVOEpDaY.jpg,"[{'id': 59348, 'logo_path': None, 'name': 'Plywood Productions', 'origin_country': ''}, {'id': 208, 'logo_path': '/bxQYlRhQu6nbohBEL0SWz8xIAGy.png', 'name': 'Bac Films', 'origin_country': 'FR'}, {'id': 986, 'logo_path': None, 'name': 'Degeto Film', 'origin_country': ''}, {'id': 1251, 'logo_path': '/ucgmv8vBIA3Tr2VbqQ1NKYgkTsN.png', 'name': 'ARD', 'origin_country': 'DE'}, {'id': 104, 'logo_path': '/9aotxauvc9685tq9pTcRJszuT06.png', 'name': 'Canal+', 'origin_country': 'FR'}, {'id': 140, 'logo_path': '/3ngKBDqmPOjNCccrtyjZWhPsLFa.png', 'name': 'Pandora Film', 'origin_country': 'DE'}, {'id': 182, 'logo_path': None, 'name': 'JVC', 'origin_country': 'JP'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",1999-06-02,9400000.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All assassins live beyond the law … only one follows the code,Ghost Dog: The Way of the Samurai,False,7.3,673.0,,
9,65513,False,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",,tt0378661,fr,Les Revenants,The lives of the residents of a small French town are changed when thousands of the recently dead inexplicably come back to life and try to integrate themselves into society that has changed for them.,5.205,/fzNsETDXLxFomQJQMY3zGOlxOzH.jpg,"[{'id': 20366, 'logo_path': None, 'name': 'Gimages Développement', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2004-10-27,0.0,102.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,Why have the dead suddenly returned...,They Came Back,False,5.5,51.0,,
10,36599,False,/ctO7MK4vqvlJWrYm7UaN08cA69z.jpg,"{'id': 123255, 'name': 'Prom Night Collection', 'poster_path': '/tHhPnpJad4RVICIwaeERIq63ARg.jpg', 'backdrop_path': None}",1500000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,tt0081383,en,Prom Night,"This slasher movie follows a relentless killer who is out to avenge the death of a young girl who died after being bullied and teased by four of her classmates. Now high-school students, the guilt-ridden kids have kept their involvement a secret, but when they start being murdered, one by one, it's clear that someone knows the truth. Also coping with the past are members of the dead girl's family, most notably her prom-queen sister, Kim Hammond (Jamie Lee Curtis).",16.009,/r2Ew7wUP96PsePEZseK6JqcPWY9.jpg,"[{'id': 15059, 'logo_path': None, 'name': 'Simcom Limited', 'origin_country': ''}, {'id': 542, 'logo_path': None, 'name': 'Guardian Trust Company', 'origin_country': ''}, {'id': 15060, 'logo_path': None, 'name': 'Prom Night Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1980-07-18,14796236.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,If you're not back by midnight... you won't be coming home!,Prom Night,False,5.6,190.0,,
11,168535,False,/nYs0F16VKAArkwMAqSVOhQek5se.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,tt0117773,en,The Substance of Fire,"Isaac Geldhart is a Holocaust survivor who, overcome by grief at the recent death of his wife, seems determined to run his publishing firm into the ground by printing books that have no hope of financial success. His son Aaron, who also works at the company, grows frustrated with Isaac's emotional decline and attempts to take over the firm. The resulting crisis involves Isaac's other two children, his daughter Sarah and his dying son Martin.",2.101,/kH5bjhWoHe0f8J2yMKGoTEhcngY.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-09-11,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Substance of Fire,False,6.3,3.0,,
12,42691,False,/f3kGIMxySlAuOljYgHtKmY6z4Hz.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,tt0061613,it,Edipo re,"In pre-war Italy, a young couple have a baby boy. The father, however, is jealous of his son - and the scene moves to antiquity, where the baby is taken into the desert to be killed. He is rescued, given the name Edipo (Oedipus), and brought up by the King and Queen of Corinth as their son. One day an oracle informs Edipo that he is destined to kill his father and marry his mother. Horrified, he flees Corinth and his supposed parents - only to get into a fight and kill an older man on the road...",6.841,/7R3yPlLdiNhpGzasB8SDCT6Kwy.jpg,"[{'id': 42669, 'logo_path': None, 'name': 'Somafis', 'origin_country': ''}, {'id': 4498, 'logo_path': None, 'name': 'Arco Film', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'MA', 'name': 'Morocco'}]",1967-09-02,0.0,104.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'ro', 'name': 'Română'}]",Released,,Oedipus Rex,False,6.6,121.0,,
13,33319,False,/xJBbMQSMHf0IDwUxBTCil2vWevw.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10752, 'name': 'War'}]",,tt0049012,ja,ビルマの竪琴,"In the War's closing days, when a conscience-driven Japanese soldier fails to get his countrymen to surrender to overwhelming force, he adopts the lifestyle of a Buddhist monk.",9.685,/aQbrTw1srrfDbte9ZduzF2bTKDI.jpg,"[{'id': 955, 'logo_path': '/5xnXD3PJI1HqOJceSAKZ3fDqO1V.png', 'name': 'Nikkatsu Corporation', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1956-01-21,0.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The Burmese Harp,False,8.0,69.0,,
14,10990,False,/hUSMsbZdWWQy7SCHtQKGo3NM0eY.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,tt0117107,en,Mulholland Falls,"In 1950s Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.",10.384,/tQftxJvAB0KFZo0LapSoOubWIvz.jpg,"[{'id': 21, 'logo_path': '/mjofSXiHpG5t6KYmU4l4FrUhT7m.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 1644, 'logo_path': None, 'name': 'Largo Entertainment', 'origin_country': 'US'}, {'id': 80, 'logo_path': None, 'name': 'The Zanuck Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-04-26,11526099.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"This isn't America, this is Los Angeles.",Mulholland Falls,False,6.1,150.0,,
15,8414,False,/f3ZYnhTJXbEB4w7Bh3ao6y8rkB.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",http://www.sonyclassics.com/interview/,tt0480269,en,Interview,"After falling out with his editor, a fading political journalist is forced to interview America's most popular soap actress.",8.343,/bCGJVoORsVNP3akrfcR92yi82lX.jpg,"[{'id': 2414, 'logo_path': None, 'name': 'Kiss the Cactus', 'origin_country': 'US'}, {'id': 2412, 'logo_path': None, 'name': 'Column Productions', 'origin_country': ''}, {'id': 2413, 'logo_path': None, 'name': 'Ironworks Productions', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2007-07-13,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A journalist and a starlet take on media, truth and celebrity.",Interview,False,6.4,97.0,,
16,11945,False,/u6iErpd26Vmq0u4VOYh6bp78vpb.jpg,"{'id': 187089, 'name': 'Emil i Lönneberga', 'poster_path': '/kGcEZf6LUqQJJhyPteIt2dLJFn7.jpg', 'backdrop_path': '/g2ns1KfgbGs9rVKV7AbYnOPRUgl.jpg'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,tt0067047,sv,Emil i Lönneberga,"Emil Svensson lives with his mother and father, little sister Ida, farmhand Alfred, and maid Lina on a picturesque farm in Småland. He is an unusually lively little boy, who just can't resist trying out every whim that enters into his white-haired head. Always with the best intentions in mind, because he is a good-hearted child, but often with catastrophic results, especially for his short-tempered father. As a result, Emil spends a lot of quality time in the wood shed carving wood figurines and waiting for Anton's temper to cool down. And the father's patience is certainly tried, as Emil gets his head stuck in the family's only soup bowl, hoists little Ida up the flag pole, and arranges a lavish Christmas party for the poor.",4.36,/8rhTvhB0oiUUrpL0J6hO3OVcjwM.jpg,"[{'id': 106248, 'logo_path': '/wLSdapPKqkBgrRVOKcUx83hCR3Y.png', 'name': 'SF-Produktion', 'origin_country': 'SE'}, {'id': 94051, 'logo_path': None, 'name': 'Stella Film', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]",1971-12-04,0.0,95.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,,Emil in Lonneberga,False,6.3,35.0,,
